seed_id,sheet_name,name_ro
29,Valea Cerbului - Poiana Costilei,Valea Cerbului - Poiana Coștilei
30,Valea Cerbului - Varful Omu,Valea Cerbului - Vârful Omu
31,Jepii Mici - Cabana Caraiman,Jepii Mici - Cabana Caraiman
32,Jepii Mici - Caraiman - Babele,Jepii Mici - Caraiman - Babele
33,Jepii Mari - Piatra Arsa,Jepii Mari - Piatra Arsă
34,Valea Jepilor - Babele,Valea Jepilor - Babele
35,Crucea Caraiman via Jepii Mici,Crucea Caraiman via Jepii Mici
36,Braul lui Raducu,Brâul lui Răducu
37,Valea Alba - Costila,Valea Albă - Coștila
38,Varful Bucsoiu Mare via Valea Cerbului,Vârful Bucșoiu Mare via Valea Cerbului
39,Varful Diham (1580),Vârful Diham (1580)
40,Poiana Izvoarelor - Pichetul Rosu - Malaiesti,Poiana Izvoarelor - Pichetul Roșu - Mălăiești
41,Pichetul Rosu - Varful Omu,Pichetul Roșu - Vârful Omu
42,Zamora ridge to Azuga,Zamora ridge to Azuga
43,Urlatoarea - Poiana Tapului - Sinaia,Urlătoarea - Poiana Țapului - Sinaia
44,Valea Priporului,Valea Priporului
45,Valea Azugii forest walk,Valea Azugii forest walk
46,Clabucetul Azugii,Clăbucetul Azugii
47,Cabana Susai,Cabana Susai
48,Varful Cazacu (1753),Vârful Cazacu (1753)
49,Valea Grecului - Saua Baiului - Diham,Valea Grecului - Șaua Baiului - Diham
50,Azuga - Diham - Busteni,Azuga - Diham - Bușteni
51,Varful Unghia Mare (1846),Vârful Unghia Mare (1846)
52,Varful Baiu Mare (1895),Vârful Baiu Mare (1895)
53,Varful Neamtu,Vârful Neamțu
54,Sorica - Garbova ridge,Sorica - Gârbova ridge
55,Clabucetul Taurului to Predeal,Clăbucetul Taurului to Predeal
56,Azuga - Baiului traverse - Sinaia,Azuga - Baiului traverse - Sinaia
57,Varful Paduchiosul,Vârful Păduchiosul
58,Cazacu - Baiu Mare loop,Cazacu - Baiu Mare loop
59,Valea Cazacia,Valea Cazacia
60,Varful Zamora from Azuga,Vârful Zamora from Azuga
61,Clabucetul Plecare,Clăbucetul Plecare
62,Cioplea - Trei Brazi loop,Cioplea - Trei Brazi loop
63,Trei Brazi - Paraul Rece,Trei Brazi - Pârâul Rece
64,Clabucetul Taurului - Azuga,Clăbucetul Taurului - Azuga
65,Predeal - Baiului ridge - Azuga,Predeal - Baiului ridge - Azuga
66,Varful Fitifoi,Vârful Fitifoi
67,Cabana Susai from Predeal,Cabana Susai from Predeal
68,Trei Brazi - Cheile Rasnoavei,Trei Brazi - Cheile Râșnoavei
69,Paraul Rece - Poiana Izvoarelor - Diham,Pârâul Rece - Poiana Izvoarelor - Diham
70,Clabucetul Baiului - Unghia Mare,Clăbucetul Baiului - Unghia Mare
71,Poiana Secuilor - Cioplea quiet loop,Poiana Secuilor - Cioplea quiet loop
72,Dambul Morii - Cascada Tamina,Dâmbul Morii - Cascada Tamina
73,Sapte Scari canyon,Șapte Scări canyon
74,Sapte Scari - Cabana Piatra Mare,Șapte Scări - Cabana Piatra Mare
75,Varful Piatra Mare (1843),Vârful Piatra Mare (1843)
76,Pestera de Gheata,Peștera de Gheață
77,Piatra Mare traverse to Darste,Piatra Mare traverse to Dârste
78,Valea Timisului forest loop,Valea Timișului forest loop
79,Cheile Rasnoavei from Timisu de Sus,Cheile Râșnoavei from Timișu de Sus
80,Cabana Postavarul from Timisu de Sus,Cabana Postăvarul from Timișu de Sus
81,Cristianul Mare (1799) from Timisu de Sus,Cristianul Mare (1799) from Timișu de Sus
82,Darste - Cabana Piatra Mare,Dârste - Cabana Piatra Mare
83,Sacele (Bunloc) - Varful Piatra Mare,Săcele (Bunloc) - Vârful Piatra Mare
84,Valea Garcinului forest walk,Valea Gârcinului forest walk
85,Tampa via the serpentines,Tâmpa via the serpentines
86,Tampa - Dealul Melcilor loop,Tâmpa - Dealul Melcilor loop
87,Pietrele lui Solomon - Faleza Junilor,Pietrele lui Solomon - Faleza Junilor
88,Drumul Rosu to Poiana Brasov,Drumul Roșu to Poiana Brașov
89,Poiana Brasov - Cristianul Mare,Poiana Brașov - Cristianul Mare
90,Valea Racadau - Varful Postavaru,Valea Răcădău - Vârful Postăvaru
91,Stejeris - Warthe ridge,Stejeriș - Warthe ridge
92,Cetatuia - Dealul Melcilor easy loop,Cetățuia - Dealul Melcilor easy loop
93,Schei - Solomon - Poiana Brasov,Șchei - Solomon - Poiana Brașov
94,Muchia Cheii - Postavaru old route,Muchia Cheii - Postăvaru old route
95,Cetatea Rasnov - Valea Cetatii cave,Cetatea Râșnov - Valea Cetății cave
96,Cheile Rasnoavei,Cheile Râșnoavei
97,Cheile Rasnoavei via ferrata,Cheile Râșnoavei via ferrata
98,Cheile Rasnoavei scrambling sectors,Cheile Râșnoavei scrambling sectors
99,Valea Cetatii - Varful Postavaru,Valea Cetății - Vârful Postăvaru
100,Valea Glajeriei - Cabana Malaiesti,Valea Glajeriei - Cabana Mălăiești
101,Malaiesti - Hornuri - Varful Omu,Mălăiești - Hornuri - Vârful Omu
102,Varful Bucsoiu Mare via Malaiesti,Vârful Bucșoiu Mare via Mălăiești
103,Rasnov - Trei Brazi - Predeal,Râșnov - Trei Brazi - Predeal
104,Rasnov - Poiana Brasov,Râșnov - Poiana Brașov
105,Prapastiile Zarnestiului - Cabana Curmatura,Prăpăstiile Zărneștiului - Cabana Curmătura
106,Curmatura - Saua Crapaturii loop,Curmătura - Șaua Crăpăturii loop
107,Piatra Mica (1816),Piatra Mică (1816)
108,Varful Turnu (1923),Vârful Turnu (1923)
109,Varful Ascutit via La Lanturi,Vârful Ascuțit via La Lanțuri
110,Zarnesti - Cabana Plaiul Foii,Zărnești - Cabana Plaiul Foii
111,Plaiul Foii - Saua Grindului,Plaiul Foii - Șaua Grindului
112,Vladusca,Vlădușca
113,Coltii Chiliilor,Colții Chiliilor
114,Brana Caprelor traverse,Brâna Caprelor traverse
115,Curmatura - ridge - Plaiul Foii,Curmătura - ridge - Plaiul Foii
116,Magura village loop,Măgura village loop
117,Gura Raului - Padina Popii - Curmatura,Gura Râului - Padina Popii - Curmătura
118,Turnu - Padina Popii loop,Turnu - Padina Popii loop
119,Piatra Mica - Curmatura loop,Piatra Mică - Curmătura loop
120,Prapastii in winter (snowshoes),Prăpăstii in winter (snowshoes)
121,Padina lui Calinet climbing approach,Padina lui Călineț climbing approach
122,Cheia - Muntele Rosu - Varful Ciucas,Cheia - Muntele Roșu - Vârful Ciucaș
123,Cheia - Tigaile Mari - Bratocea,Cheia - Țigăile Mari - Bratocea
124,Cheia - Zaganu - Gropsoarele,Cheia - Zăganu - Gropșoarele
125,Cheia - Cabana Ciucas - Saua Tigailor loop,Cheia - Cabana Ciucaș - Șaua Țigăilor loop
126,Zaganu - Gropsoarele full loop,Zăganu - Gropșoarele full loop
127,Lacul Maneciu tour,Lacul Măneciu tour
128,Valea Teleajenului forest walk,Valea Teleajenului forest walk
129,Valenii de Munte hill circuit,Vălenii de Munte hill circuit
130,Muntele de Sare - Grota Miresei,Muntele de Sare - Grota Miresei
131,Piatra Verde loop,Piatra Verde loop
132,Slanic forest hills long loop,Slănic forest hills long loop
133,Campina - Valea Doftanei flat walk,Câmpina - Valea Doftanei flat walk
134,Muscelul Campinei hills,Muscelul Câmpinei hills
135,Breaza terraces loop,Breaza terraces loop
136,Comarnic - Secaria hills,Comarnic - Secaria hills
137,Posada - old Prahova road,Posada - old Prahova road
138,Pietrosita - Valea Ialomitei to Moroeni,Pietroșița - Valea Ialomiței to Moroeni
139,Pietrosita - Cheile Orzei,Pietroșița - Cheile Orzei
140,Varful Leaota (2133),Vârful Leaota (2133)
141,Padina - Pestera plateau walk,Padina - Peștera plateau walk
142,Cheile Tatarului and Cheile Zanoagei,Cheile Tătarului and Cheile Zănoagei
143,Babele - Varful Omu,Babele - Vârful Omu
144,Babele - Pestera - Padina,Babele - Peștera - Padina
145,Pestera - Cheile Horoabei - Cocora,Peștera - Cheile Horoabei - Cocora
146,Pestera - Varful Laptici - Varful cu Dor,Peștera - Vârful Lăptici - Vârful cu Dor
147,Omu - Valea Malaiesti - Cabana Malaiesti,Omu - Valea Mălăiești - Cabana Mălăiești
148,Omu - Bucsoiu ridge - Malaiesti,Omu - Bucșoiu ridge - Mălăiești
149,Omu - Valea Gaura - Padina Crucii,Omu - Valea Gaura - Padina Crucii
150,Piatra Arsa - Babele,Piatra Arsă - Babele
151,Padina - Varful Obarsia - Omu,Padina - Vârful Obârșia - Omu
152,Pestera - Cheile Ursilor - Doamnele,Peștera - Cheile Urșilor - Doamnele
153,Clabucetele Intorsurii,Clăbucetele Întorsurii
154,Lacul Vulturilor,Lacul Vulturilor
155,Varful Malaia (1663),Vârful Mălaia (1663)
156,Cascada Balbaitoarea,Cascada Bâlbâitoarea
157,Magura Codlei (1292),Măgura Codlei (1292)
158,Codlea - Cetatea Neagra forest loop,Codlea - Cetatea Neagră forest loop
159,Vladeni - Persani hills,Vlădeni - Perșani hills
160,Ucea - Victoria - Cabana Turnuri,Ucea - Victoria - Cabana Turnuri
161,Valea Doamnei - Balea Lac,Valea Doamnei - Bâlea Lac
162,Porumbacu - Cabana Negoiu,Porumbacu - Cabana Negoiu
163,Avrig - Lacul Avrig - Varful Suru,Avrig - Lacul Avrig - Vârful Suru
164,Comana natural park loop,Comana natural park loop
165,Comana - Padina Tatarului long loop,Comana - Padina Tătarului long loop
166,Mogosoaia lake circuit,Mogoșoaia lake circuit
167,Buftea lake and forest,Buftea lake and forest
168,Sinaia - Cota 1400 - Piatra Arsa - Babele,Sinaia - Cota 1400 - Piatra Arsă - Babele
169,Busteni - Babele - Pestera - Padina,Bușteni - Babele - Peștera - Padina
170,Diham - Pichetul Rosu - Malaiesti,Diham - Pichetul Roșu - Mălăiești
171,Azuga - Susai - Clabucet - Predeal,Azuga - Susai - Clăbucet - Predeal
172,Predeal - Fitifoi - Garbova ridge - Azuga,Predeal - Fitifoi - Gârbova ridge - Azuga
173,Sinaia - Vanturis - Saua Varfului cu Dor,Sinaia - Vânturiș - Șaua Vârfului cu Dor
174,Busteni - Urlatoarea - Jepii Mari - Piatra Arsa,Bușteni - Urlătoarea - Jepii Mari - Piatra Arsă
175,Sapte Scari - Piatra Mare - Sapte Scari loop,Șapte Scări - Piatra Mare - Șapte Scări loop
176,Poiana Brasov - Postavaru - Rasnov,Poiana Brașov - Postăvaru - Râșnov
177,Zarnesti - Curmatura - Piatra Mica - Magura,Zărnești - Curmătura - Piatra Mică - Măgura
178,Cheia - Bratocea - Muntele Rosu loop,Cheia - Bratocea - Muntele Roșu loop
179,Omu - Valea Cerbului - Busteni (descent day),Omu - Valea Cerbului - Bușteni (descent day)
180,Malaiesti - Valea Glajeriei - Rasnov (descent day),Mălăiești - Valea Glajeriei - Râșnov (descent day)
181,Sinaia - Zamora - Busteni low ridge,Sinaia - Zamora - Bușteni low ridge
182,Timisu de Jos - Piatra Mare - Sacele,Timișu de Jos - Piatra Mare - Săcele
183,Brasov - Tampa - Poiana Brasov - Postavaru,Brașov - Tâmpa - Poiana Brașov - Postăvaru
184,Rasnov - Cheile Rasnoavei - Predeal,Râșnov - Cheile Râșnoavei - Predeal
185,Plaiul Foii - Curmatura Foii - Zarnesti,Plaiul Foii - Curmătura Foii - Zărnești
